Year,LocationName,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,CountyFIPS
2022,17031010201,Health Outcomes,Obesity among adults,%,Crude prevalence,40.8,,,36.9,44.8,6939,5333,POINT (-87.6801484 42.0160077),17031010201,HLTHOUT,OBESITY,CrdPrv,Obesity,17031
2022,17031020602,Health Outcomes,Obesity among adults,%,Crude prevalence,28.3,,,25.0,31.7,4662,3496,POINT (-87.6936373 42.0013156),17031020602,HLTHOUT,OBESITY,CrdPrv,Obesity,17031
2022,17031030706,Health Outcomes,Obesity among adults,%,Crude prevalence,27.6,,,24.5,31.0,2933,2675,POINT (-87.6509155 41.9804151),17031030706,HLTHOUT,OBESITY,CrdPrv,Obesity,17031
2022,17031031900,Health Outcomes,Current asthma among adults,%,Crude prevalence,8.6,,,7.7,9.7,2522,2143,POINT (-87.6701841 41.963374),17031031900,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,17031
2022,17031040100,Health Outcomes,Obesity among adults,%,Crude prevalence,29.5,,,26.1,33.1,3905,3249,POINT (-87.6828856 41.9856223),17031040100,HLTHOUT,OBESITY,CrdPrv,Obesity,17031
2022,17031040202,Health Outcomes,Obesity among adults,%,Crude prevalence,32.3,,,28.8,35.9,7318,5924,POINT (-87.694096 41.9798549),17031040202,HLTHOUT,OBESITY,CrdPrv,Obesity,17031
2022,17031040700,Health Outcomes,Depression among adults,%,Crude prevalence,18.7,,,16.3,21.1,3426,2855,POINT (-87.6940682 41.9674314),17031040700,HLTHOUT,DEPRESSION,CrdPrv,Depression,17031
2022,17031040800,Health Outcomes,Obesity among adults,%,Crude prevalence,28.2,,,24.8,31.7,1636,1337,POINT (-87.6918213 41.963974),17031040800,HLTHOUT,OBESITY,CrdPrv,Obesity,17031
2022,17031050100,Health Outcomes,Obesity among adults,%,Crude prevalence,27.9,,,24.6,31.4,2568,2070,POINT (-87.676373 41.9578451),17031050100,HLTHOUT,OBESITY,CrdPrv,Obesity,17031
2022,17031051100,Health Outcomes,Obesity among adults,%,Crude prevalence,28.4,,,25.1,32.0,1599,1193,POINT (-87.6808266 41.9413652),17031051100,HLTHOUT,OBESITY,CrdPrv,Obesity,17031
2022,17031060800,Health Outcomes,Obesity among adults,%,Crude prevalence,25.6,,,22.5,28.9,5295,5027,POINT (-87.6426489 41.953959),17031060800,HLTHOUT,OBESITY,CrdPrv,Obesity,17031
2022,17031061500,Disability,Vision disability among adults,%,Crude prevalence,2.0,,,1.9,2.2,1797,1568,POINT (-87.6615447 41.9452818),17031061500,DISABLT,VISION,CrdPrv,Vision Disability,17031
2022,17031062600,Health Outcomes,Current asthma among adults,%,Crude prevalence,8.3,,,7.3,9.3,2477,1760,POINT (-87.6709843 41.9359751),17031062600,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,17031
2022,17031062800,Health Outcomes,Obesity among adults,%,Crude prevalence,24.5,,,21.5,27.7,3851,3191,POINT (-87.6612648 41.9361586),17031062800,HLTHOUT,OBESITY,CrdPrv,Obesity,17031
2022,17031063100,Disability,Vision disability among adults,%,Crude prevalence,1.7,,,1.6,1.9,2376,2169,POINT (-87.6467799 41.9382319),17031063100,DISABLT,VISION,CrdPrv,Vision Disability,17031
2022,17031070101,Health Outcomes,Current asthma among adults,%,Crude prevalence,8.9,,,7.9,9.9,4171,3912,POINT (-87.6323247 41.9295225),17031070101,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,17031
2022,17031070101,Health Outcomes,Obesity among adults,%,Crude prevalence,25.7,,,22.6,28.9,4171,3912,POINT (-87.6323247 41.9295225),17031070101,HLTHOUT,OBESITY,CrdPrv,Obesity,17031
2022,17031080201,Disability,Vision disability among adults,%,Crude prevalence,2.8,,,2.5,3.0,3375,3214,POINT (-87.6310051 41.9094976),17031080201,DISABLT,VISION,CrdPrv,Vision Disability,17031
2022,17031081700,Health Outcomes,Obesity among adults,%,Crude prevalence,23.8,,,20.8,27.0,5537,5301,POINT (-87.6318316 41.8922185),17031081700,HLTHOUT,OBESITY,CrdPrv,Obesity,17031
2022,17031110200,Health Outcomes,Obesity among adults,%,Crude prevalence,32.4,,,28.7,36.2,2772,2274,POINT (-87.7734442 41.9800699),17031110200,HLTHOUT,OBESITY,CrdPrv,Obesity,17031
2022,17031150800,Health Outcomes,Obesity among adults,%,Crude prevalence,33.2,,,29.5,37.0,4903,3881,POINT (-87.7521182 41.9497086),17031150800,HLTHOUT,OBESITY,CrdPrv,Obesity,17031
2022,17031151200,Health Outcomes,Current asthma among adults,%,Crude prevalence,8.6,,,7.7,9.7,3880,3116,POINT (-87.7714953 41.942169),17031151200,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,17031
2022,17031160900,Health Outcomes,Obesity among adults,%,Crude prevalence,29.1,,,25.7,32.6,2410,1956,POINT (-87.7226082 41.9500821),17031160900,HLTHOUT,OBESITY,CrdPrv,Obesity,17031
2022,17031170700,Health Outcomes,Obesity among adults,%,Crude prevalence,32.4,,,28.8,36.1,3068,2430,POINT (-87.822164 41.9414866),17031170700,HLTHOUT,OBESITY,CrdPrv,Obesity,17031
